name,date,rank,diff
무한의 계단,2019_09_01,29,0
무한의 계단,2019_09_02,29,2
무한의 계단,2019_09_03,27,2
무한의 계단,2019_09_04,25,1
무한의 계단,2019_09_05,24,2
무한의 계단,2019_09_06,26,3
무한의 계단,2019_09_07,23,2
무한의 계단,2019_09_08,21,1
무한의 계단,2019_09_09,20,1
무한의 계단,2019_09_10,19,9
무한의 계단,2019_09_11,28,5
무한의 계단,2019_09_12,23,2
무한의 계단,2019_09_13,21,1
무한의 계단,2019_09_14,20,1
무한의 계단,2019_09_15,19,0
무한의 계단,2019_09_16,19,3
무한의 계단,2019_09_17,22,2
무한의 계단,2019_09_18,24,2
무한의 계단,2019_09_19,26,0
무한의 계단,2019_09_20,26,5
무한의 계단,2019_09_21,31,7
무한의 계단,2019_09_22,24,2
무한의 계단,2019_09_23,22,1
무한의 계단,2019_09_24,23,5
무한의 계단,2019_09_25,28,0
무한의 계단,2019_09_26,28,1
무한의 계단,2019_09_27,27,4
무한의 계단,2019_09_28,31,1
무한의 계단,2019_09_29,30,9
무한의 계단,2019_09_30,21,1
무한의 계단,2019_10_01,22,1
무한의 계단,2019_10_02,21,5
무한의 계단,2019_10_03,26,1
무한의 계단,2019_10_04,27,1
무한의 계단,2019_10_05,28,2
무한의 계단,2019_10_06,26,1
무한의 계단,2019_10_07,27,1
무한의 계단,2019_10_08,28,10
무한의 계단,2019_10_09,18,1
무한의 계단,2019_10_10,17,1
무한의 계단,2019_10_11,18,2
무한의 계단,2019_10_12,20,3
무한의 계단,2019_10_13,17,4
무한의 계단,2019_10_14,13,0
무한의 계단,2019_10_15,13,1
무한의 계단,2019_10_16,12,3
무한의 계단,2019_10_17,15,4
무한의 계단,2019_10_18,19,1
무한의 계단,2019_10_19,18,6
무한의 계단,2019_10_20,12,1
무한의 계단,2019_10_21,11,0
무한의 계단,2019_10_22,11,0
무한의 계단,2019_10_23,11,3
무한의 계단,2019_10_24,14,2
무한의 계단,2019_10_25,16,2
무한의 계단,2019_10_26,14,0
무한의 계단,2019_10_27,14,2
무한의 계단,2019_10_28,12,0
무한의 계단,2019_10_29,12,0
무한의 계단,2019_10_30,12,1
무한의 계단,2019_10_31,13,1
무한의 계단,2019_11_01,14,2
무한의 계단,2019_11_02,16,3
무한의 계단,2019_11_03,19,5
무한의 계단,2019_11_04,14,2
무한의 계단,2019_11_05,12,1
무한의 계단,2019_11_06,11,3
무한의 계단,2019_11_07,14,1
무한의 계단,2019_11_08,13,1
무한의 계단,2019_11_09,14,2
무한의 계단,2019_11_10,12,2
무한의 계단,2019_11_11,10,1
무한의 계단,2019_11_12,11,2
무한의 계단,2019_11_13,9,0
무한의 계단,2019_11_14,9,0
무한의 계단,2019_11_15,9,0
무한의 계단,2019_11_16,9,1
무한의 계단,2019_11_17,8,3
무한의 계단,2019_11_18,5,0
무한의 계단,2019_11_19,5,2
무한의 계단,2019_11_20,7,1
무한의 계단,2019_11_21,8,2
무한의 계단,2019_11_22,10,1
무한의 계단,2019_11_23,11,6
무한의 계단,2019_11_24,5,2
무한의 계단,2019_11_25,7,2
무한의 계단,2019_11_26,9,2
무한의 계단,2019_11_27,11,2
무한의 계단,2019_11_28,13,1
무한의 계단,2019_11_29,14,0
워드퍼즐 - 단어 게임,2019_09_01,101,0
워드퍼즐 - 단어 게임,2019_09_02,101,0
워드퍼즐 - 단어 게임,2019_09_03,101,0
워드퍼즐 - 단어 게임,2019_09_04,101,0
워드퍼즐 - 단어 게임,2019_09_05,101,0
워드퍼즐 - 단어 게임,2019_09_06,101,0
워드퍼즐 - 단어 게임,2019_09_07,101,0
워드퍼즐 - 단어 게임,2019_09_08,101,0
워드퍼즐 - 단어 게임,2019_09_09,101,0
워드퍼즐 - 단어 게임,2019_09_10,101,0
워드퍼즐 - 단어 게임,2019_09_11,101,2
워드퍼즐 - 단어 게임,2019_09_12,99,2
워드퍼즐 - 단어 게임,2019_09_13,101,0
워드퍼즐 - 단어 게임,2019_09_14,101,0
워드퍼즐 - 단어 게임,2019_09_15,101,53
워드퍼즐 - 단어 게임,2019_09_16,48,27
워드퍼즐 - 단어 게임,2019_09_17,21,7
워드퍼즐 - 단어 게임,2019_09_18,14,4
워드퍼즐 - 단어 게임,2019_09_19,10,2
